Id, Title, Author, Genre
1, Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing
2, Data Smart,"Foreman, John",data_science
3, God Created the Integers,"Hawking, Stephen",mathematics
4, Superfreakonomics,"Dubner, Stephen",economics
5, Orientalism,"Said, Edward",history
6, "Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science
7, Integration of the Indian States,"Menon, V P",history
8, "Drunkard's Walk, The","Mlodinow, Leonard",science
9, Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing
10, How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology
